enormously,tremendously,decidedly,wrong
provisions,stipulations,,guess
haphazardly,randomly,,guess
prominent,conspicuous,ancient,wrong
zenith,pinnacle,,guess
flawed,imperfect,,guess
urgently,desperately,,guess
consumed,eaten,,guess
advent,coming,,guess
concisely,succinctly,,guess
salutes,greetings,,guess
solitary,alone,alone,correct
hasten,accelerate,,guess
perseverance,endurance,skill,wrong
fanciful,imaginative,,guess
showed,demonstrated,repeated,wrong
constantly,continually,continually,correct
issues,subjects,subjects,correct
furnish,supply,supply,correct
costly,expensive,popular,wrong
recognized,acknowledged,,guess
spot,location,climate,wrong
make,earn,print,wrong
often,frequently,hardly,wrong
easygoing,relaxed,,guess
debate,argument,,guess
narrow,thin,thin,correct
arranged,planned,planned,correct
infinite,limitless,relative,wrong
showy,striking,,guess
levied,imposed,,guess
deftly,skillfully,,guess
distribute,circulate,research,wrong
discrepancies,differences,,guess
prolific,productive,capable,wrong
unmatched,unequaled,,guess
peculiarly,uniquely,partly,wrong
hue,color,,guess
hind,rear,,guess
highlight,accentuate,,guess
hastily,hurriedly,,guess
temperate,mild,,guess
grin,smile,,guess
verbally,orally,,guess
physician,doctor,doctor,correct
essentially,basically,possibly,wrong
keen,sharp,simple,wrong
situated,positioned,isolated,wrong
principal,major,exceptional,wrong
slowly,gradually,effectively,wrong
built,constructed,constructed,correct
tasks,jobs,,guess
unlikely,improbable,,guess
halfheartedly,apathetically,,guess
annals,chronicles,homes,wrong
wildly,furiously,,guess
hailed,acclaimed,,guess
command,mastery,observation,wrong
concocted,devised,,guess
prospective,potential,,guess
generally,broadly,accurately,wrong
sustained,prolonged,refined,wrong
perilous,dangerous,,guess
tranquillity,peacefulness,happiness,wrong
dissipate,disperse,,guess
primarily,chiefly,,guess
colloquial,conversational,,guess
resolved,settled,examined,wrong
feasible,possible,,guess
expeditiously,rapidly,,guess
percentage,proportion,,guess
terminated,ended,ended,correct
uniform,alike,hard,wrong
figure,solve,express,wrong
sufficient,enough,enough,correct
fashion,manner,manner,correct
marketed,sold,,guess
bigger,larger,,guess
roots,origins,,guess
normally,ordinarily,,guess
